QueryType,QueryValue,ActivityType,JobPostUrl,CompanyName,CompanyWebsite,JobTitle,JobLocation,PostedOn,NumberOfApplicants,Industry,EmploymentType,SeniorityLevel,JobFunction,JobPosterProfileUrl,JobPosterFirstName,JobPosterLastName,DegreeOfConnection,ScrapedDate
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2210996456,Grupo Tawa,http://www.grupotawa.com,Peonetas $380.000,Santiago Santiago Metropolitan Chile,09/21/2020 07:50:06,0,Food & Beverages. Food Production. Human Resources,Full-time,Not Applicable,Other,N/A,N/A,N/A,N/A,10/20/2020 1:18:26 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212516631,N/A,N/A,Se Buscan banqueteras | Banqueteria,Ñuñoa Santiago Metropolitan Chile,10/16/2020 22:50:58,0,Construction. Telecommunications. Consumer Services,Full-time,Not Applicable,Other,N/A,N/A,N/A,N/A,10/20/2020 1:19:09 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212501528,Softgroup,http://www.softgroup.com.br,Técnico de Soporte TI - Las Condes,Las Condes Santiago Metropolitan Chile,10/16/2020 22:41:28,15,Construction. Staffing & Recruiting. Human Resources,Full-time,Entry level,Information Technology,N/A,N/A,N/A,N/A,10/20/2020 1:20:07 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2207028452,CODELCO – Corporación Nacional del Cobre de Chile,http://www.codelco.com,Desarrollador/a Full Stack,Santiago Santiago Metropolitan Chile,10/14/2020 17:33:49,89,Mining & Metals. Investment Banking. Program Development,Full-time,Mid-Senior level,Analyst. Engineering. Information Technology,N/A,N/A,N/A,N/A,10/20/2020 1:20:41 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2207796331,Crossover for Work,http://www.crossover.com,Technical Architect (Remote) - $100000/year USD,Santiago Santiago Metropolitan Chile,10/19/2020 01:05:51,8,Computer Software. Information Technology & Services. Telecommunications,Full-time,Mid-Senior level,Art/Creative. Engineering. Information Technology,N/A,N/A,N/A,N/A,10/20/2020 1:21:35 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2203930267,MetLife,http://www.metlife.com,Asesor de Seguros,Santiago Santiago Metropolitan Chile,10/13/2020 16:55:22,76,Insurance,Full-time,Associate,Sales. Business Development,https://www.linkedin.com/in/ACoAAAC0vSkBkmcY5KilhdbZEZEUA2TYrWTQri4,Fernanda,Varas,DISTANCE_3,10/20/2020 1:22:15 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212557030,iConstruye S.A.,http://www.iconstruye.com,Desarrollador - Las Condes,Las Condes Santiago Metropolitan Chile,10/13/2020 18:10:36,1,Marketing & Advertising. Information Technology & Services. Human Resources,Full-time,Entry level,Engineering. Information Technology,N/A,N/A,N/A,N/A,10/20/2020 1:23:12 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2207860446,Gastronomía & Negocios,http://www.gyn.cl,TOMMY BEANS PARQUE ARAUCO BUSCA OPERARIOS FULL Y PART TIME,Las Condes Santiago Metropolitan Chile,09/19/2020 23:48:27,4,E-learning,Part-time,Entry level,Other,N/A,N/A,N/A,N/A,10/20/2020 1:24:09 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2201355263,Coasin Logicalis,http://www.coasinlogicalis.com/,Operador(A) Noc,Santiago Santiago Metropolitan Chile,10/09/2020 21:00:00,12,Marketing & Advertising. Telecommunications. Human Resources,Full-time,Entry level,Other,N/A,N/A,N/A,N/A,10/20/2020 1:24:41 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2207096154,N/A,N/A,Trabajo Anfitrionas Part Time Para Krossbar De Borderio,Santiago Santiago Metropolitan Chile,09/29/2020 21:00:00,4,Staffing & Recruiting. Human Resources. Hospital & Health Care,Part-time,Entry level,Marketing. Public Relations. Writing/Editing,N/A,N/A,N/A,N/A,10/20/2020 1:25:13 AM
